route_id,agency_id,route_short_name,route_long_name,route_type
175,12,B204,Trento-Vezzano Apt-Vigo Cavedine-Riva del Garda,3
177,12,B418,Pergine-Kamauz-Frassilongo-S.Felice F.-Hacleri,3
179,12,B417,Pergine -Canezza -Viarago -S.Orsola -Palù,3
181,12,B302,Trento -Ravina -Mattarello -Aldeno -Garniga Terme,3
184,12,B407,Borgo Valsugana - Telve - Torcegno,3
186,12,B303,Trento-V.Vattaro-Centa-Carbonare-Lavarone-Luserna,3
188,12,B423,Pergine Vals.-Ischia-Tenna-Levico Terme,3
194,12,B311,Rovereto-Villa-Nomi-Aldeno,3
196,12,B306,Rovereto-Calliano-Folgaria-Lavarone,3
198,12,B315,Rovereto-Terragnolo-Serrada-Folgaria,3
200,12,B307,Rovereto-Mori-Chizzola-Cornè-Ala-Avio,3
203,12,B314,Rovereto-Riva-Obra di Vallarsa-Ometto,3
215,12,B312,Rovereto-Pozzacchio-Raossi-P.Vallarsa-P.Fugazze,3
229,12,B230,Trento-Ciago-Monte Terlago-Ranzo-Margone,3
231,12,B305,Rovereto-Mori-Brentonico-Saccone,3
233,12,B319,Besagno-Crosano-Cornè-Saccone,3
237,12,B202,Trento-Sardagna-Vaneze-Vason-Lagolo,3
241,12,B108,Cavalese-Daiano-Varena-P.so Lavazè-P.so Oclini,3
243,12,B101,Cavalese-Predazzo-Moena-Campitello-Canazei- Penia,3
245,12,B214,Riva-Pregasina-Bezzecca-Storo-Baitoni,3
248,12,B503,Caoria-Fiera P.-Passo Cereda-Sagron-Agordo,3
250,12,B506,Fiera di P. -Canal S.Bovo -Lago Calaita -Caoria,3
252,12,B123,Moena-Passo S.Pellegrino,3
286,12,B208,Ponte Arche-Stenico-Molveno,3
288,12,B122,Predazzo-P.Rolle-S.Martino di C.-Fiera di Primiero,3
290,12,B404,Baselga di Pinè - Faida,3
300,12,B115,Pergine - Civezzano,3
305,12,B416,Levico Terme - Compet - Vetriolo Terme,3
309,12,B425,Pergine Vals.-Masetti-Assizzi-Vignola-Falesina,3
314,12,B310,Rovereto-Mori-S.Felice-Nomesino-Ronzo Chienis,3
324,12,B640,Malè - Rabbi Bagni - Somrabbi,3
326,12,B642,Malè - Folgarida - Madonna di Campiglio,3
328,12,B644,Pellizzano - Menas,3
330,12,B641,Malè - Bolentina,3
332,12,B646,Malè-Mezzana-Fucine-Vermiglio-Passo Tonale,3
334,12,B643,Malè - Mezzana - Marilleva 1400,3
336,12,B645,Malè-Mezzana-Fucine-Cogolo-Peio,3
340,12,B107,Mezzolombardo - Roverè della Luna,3
343,12,B106,Mezzocorona Ferrovia - S.Michele - Faedo Pineta,3
345,12,B611,Trento-Mezzocorona-Fai d/Paganella-Andalo-Molveno,3
349,12,B623,Cles - Pavillo - Tuenno - Portolo,3
352,12,R35, FERROVIA TRENTO - MALE' - MEZZANA,2
354,12,B624,Cles - Mechel,3
357,12,B634,Cles - Livo - Bresimo - Lanza di Rumo,3
364,12,B632,Cles - Revò - Castelfondo - Fondo,3
366,12,B620,Mezzolombardo-Campodenno-Denno-Cles,3
368,12,B627,Cles - Dermulo - Coredo - Smarano - Sfruz,3
375,12,B630,Cles -Dermulo -Dambel -Don -Fondo -P.Mendola,3
378,12,B633,Cles - Mostizzolo - Cis,3
381,12,B636,Madonna di Campiglio -Malè -Passo Mendola,3
383,12,B625,Cles - Mollaro -  Vervò - Tres,3
386,12,B616,Tuenno - Lago di Tovel,3
391,12,701,Servizi bus per Ferrovia - andata,3
395,12,B615,Mezzolombardo - Vigo di Ton -  Toss,3
420,12,B861,Linea 1: Riva -Varone -Arco -S.Giorgio-Brione-Riva,3
423,12,B862,Linea 2: Riva-Brione-S.Giorgio-Arco-Varone-Riva,3
494,12,B403,Trento - Pergine - Baselga di Pinè - Montesover,3
503,12,B335,Rovereto-Ala-Masi d'Avio-Avio-Rovereto,3
507,12,B334,Rovereto-Ala-Sabbionara-Avio-Masi-Rovereto,3
520,12,B401,Trento-Pergine V.-Levico T.-Borgo V.,3
522,12,B405,Borgo V.- Strigno - Castello Tesino,3
526,12,B329,Pergine-Calceranica-Bosentino-V.Vattaro,3
549,12,B461,Linea 1 Pergine Valsugana - Madrano - Nogarè,3
551,12,B462,Linea 2 Pergine-Zivignago-Canezza-Viarago-Serso,3
552,12,B466,Linea 6 Pergine Valsugana-Costasavina-Roncogno,3
554,12,B464,Linea 4 Pergine Valsugana - Ischia,3
562,12,B465,Linea 5 Pergine V-Susà-S.Vito-Canale-S.Caterina,3
564,12,B433,Roncegno Terme - giro Masi,3
578,12,R15,Servizi Trenitalia - Brennero Andata,2
580,12,B336,Ala-Ronchi di Ala-Ponzolotti,3
611,12,B120,Cavalese Autostazione-Ospedale,3
618,12,B503,Caoria-Imer-Fiera di Primiero-Voltago-Agordo,3
634,12,B332,Rovereto-Mori-Riva-Arco-Bolognano,3
636,12,B231,Tione-Pinzolo-Madonna di C.-C.C.Magno,3
638,12,B140,AAM: Ora-S.Lugano-Castello di Fiemme-Cavalese,3
641,12,B119,Cavalese-Masi di Cavalese-Tesero-Alpe Pampeago,3
658,12,B611,Tn-Mezzocorona-Fai-Cavedago-Andalo-Molveno,3
663,12,B131,Penia-Passo Fedaia,3
672,12,B869, Riva del Garda-Deva-Pranzo-Campi,3
681,12,B665,SU.Ville Anaunia:Portolo-Nanno-Rallo-Pavillo-Cles,3
683,12,B130,Canazei - Passo Pordoi,3
687,12,B261,SU Vallelaghi: Terlago-M.Terlago-Ciago-Lon-Vezzano,3
703,12,B621,Trento-Lavis-Zambana-Nave S.Rocco-Mezzolombardo,3
713,12,B601,Trento-Dermulo-Cles-Malè,3
717,12,B450,Servizio sostitutivo treno-Andata,3
721,12,B639,Plaze dei Forni - Coler,3
