route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
243,0000000012025062820250831,0003271372025062820250831,Cavalese. Autostazione,1,SHAPE00288
243,0000000012025062820250909,0003273042025062820250909,Predazzo. Autostazione,1,SHAPE00049
552,0000000042025062820250909,0003292212025062820250909,Roncogno,0,SHAPE00406
366,0000000072025062820250909,0003302972025062820250909,Cles. Autostazione,0,SHAPE00819
324,0000000072025062820250909,0003298552025062820250909,Male',1,SHAPE00488
552,0000004512025062820250909,0003290882025062820250909,Roncogno,0,SHAPE00406
248,0000000012025062820250909,0003294502025062820250909,Imer,1,SHAPE00515
658,0000004512025062820250909,0003296012025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00038
69,0000004512025062820250909,0003289582025062820250909,Trento. Autostazione,1,SHAPE01766
551,0000000042025062820250909,0003292582025062820250909,Pergine V. Intermodale,1,SHAPE00172
494,0000000022025062820250909,0003291372025062820250909,Pergine V. Intermodale,1,SHAPE00186
7,0000000022025062820250909,0003269272025062820250909,Sicina,0,SHAPE02196
683,0000000072025062820250909,0003274672025062820250909,Parcheggio,1,SHAPE00008
386,0000000072025062820250909,0003298072025062820250909,Lago di Tovel,0,SHAPE00739
248,0000000012025062820250909,0003294542025062820250909,Imer,1,SHAPE01422
634,0000000022025062820250909,0003284452025062820250909,Rovereto. Via Paoli,1,SHAPE02162
188,0000000042025062820250909,0003290442025062820250909,Tenna,1,SHAPE00787
357,0000000022025062820250909,0003300252025062820250909,Cles. Autostazione,1,SHAPE01232
494,0000004512025062820250909,0003290792025062820250909,Trento. Ospedale S.Camillo,1,SHAPE00116
658,0000000042025062820250909,0003296272025062820250909,Molveno,0,SHAPE01596
658,0000000012025062820250909,0003298302025062820250909,Andalo,1,SHAPE01975
336,0000000072025062820250909,0003299662025062820250909,Fucine,1,SHAPE00015
641,0000000072025062820250909,0003311292025062820250909,Alpe Pampeago,0,SHAPE00270
658,0000000022025062820250909,0003295462025062820250909,Andalo,0,SHAPE00614
343,0000000042025062820250909,0003272082025062820250909,Faedo. Pineta,0,SHAPE00189
248,0000000072025062820250909,0003294042025062820250909,Sagron,0,SHAPE00141
663,0000000012025062820250909,0003273522025062820250909,Passo Fedaia,0,SHAPE00179
80,0000000042025062820250909,0003279532025062820250909,Sopramonte,1,SHAPE01125
549,0000000042025062820250909,0003292512025062820250909,Nogare',0,SHAPE00740
151,0000000022025062820250909,0003271822025062820250909,Bosco di Civezzano,0,SHAPE00890
683,0000000022025062820250909,0003274522025062820250909,Passo Pordoi,0,SHAPE00194
80,0000000072025062820250909,0003276282025062820250909,Trento. Autostazione,1,SHAPE00842
203,0000000042025062820250909,0003283382025062820250909,Ometto,0,SHAPE02496
237,0000000402025062820250909,0003277722025062820250909,Lagolo-Capolinea,1,SHAPE01103
184,0000000412025062820250909,0003289102025062820250909,Torcegno,0,SHAPE00214
186,0000000072025062820250909,0003287252025062820250909,Lavarone Cappella,0,SHAPE00583
215,0000000022025062820250909,0003283252025062820250909,Piano di Vallarsa,0,SHAPE02707
245,0000000072025062820250909,0003279122025062820250909,Tiarno di Sopra,0,SHAPE00048
198,0000000022025062820250909,0003282662025062820250909,Folgaria. Via Battisti,0,SHAPE01593
636,0000000072025062820250909,0003281992025062820250909,Trento. Autostazione,1,SHAPE00088
288,0000000012025062820250909,0003272772025062820250909,Fiera di Primiero,0,SHAPE00578
366,0000000022025062820250909,0003297392025062820250909,Trento. Autostazione,1,SHAPE01641
366,0000000022025062820250909,0003297572025062820250909,Dercolo. Bivio,0,SHAPE00782
423,0000000022025062820250909,0003305442025062820250909,Riva Del G. Autostazione,0,SHAPE00016
713,0000000022025062820250909,0003300592025062820250909,Mezzolombardo,0,SHAPE00728
494,0000004512025062820250909,0003290762025062820250909,Trento. Autostazione,1,SHAPE01923
703,0000000022025062820250909,0003302872025062820250909,Mezzolombardo,0,SHAPE01493
641,0000000072025062820250909,0003311322025062820250909,Cavalese. Autostazione,1,SHAPE00303
123,0000000012025062820250909,0003293562025062820250909,S.Martino di Castrozza,0,SHAPE01650
332,0000000022025062820250909,0003299572025062820250909,Mezzana. Staz Ftm,1,SHAPE00067
494,0000000072025062820250909,0003291062025062820250909,Montagnaga,1,SHAPE00463
196,0000000022025062820250909,0003282612025062820250909,Rovereto. Staz. Fs,1,SHAPE00078
252,0000000012025062820250909,0003271302025062820250909,Moena Albergo Trentino,1,SHAPE00096
71,0000000072025062820250909,0003275932025062820250909,Campo Carlo Magno,0,SHAPE00811
721,0000000012025062820250909,0003301462025062820250909,Rabbi Coler,0,SHAPE00269
334,0000000072025062820250909,0003299212025062820250909,Male',1,SHAPE01040
324,0000000072025062820250909,0003298612025062820250909,Campeggio Al Plan,0,SHAPE00310
181,0000000022025062820250909,0003283682025062820250909,Aldeno,0,SHAPE00365
194,0000000022025062820250909,0003285472025062820250909,Rovereto. Staz. Fs,1,SHAPE00618
134,0000000072025062820250909,0003277132025062820250909,Trento. Autostazione,1,SHAPE00035
215,0000000502025062820250909,0003311262025062820250909,Raossi,1,SHAPE00123
215,0000000022025062820250909,0003283272025062820250909,Pian Delle Fugazze,0,SHAPE01291
153,0000000022025062820250909,0003275062025062820250909,Ponte Arche Autostazione,0,SHAPE00380
634,0000000022025062820250909,0003284702025062820250909,Bolognano,0,SHAPE00064
526,0000000022025062820250909,0003287482025062820250909,Caldonazzo. Viale Trento,1,SHAPE00101
336,0000000072025062820250909,0003299602025062820250909,Fucine,1,SHAPE00015
153,0000000022025062820250909,0003275012025062820250909,Riva Del G.Autostazione,1,SHAPE00122
184,0000000022025062820250909,0003289072025062820250909,Borgo Valsugana-C.Intermodale,1,SHAPE00037
721,0000000012025062820250909,0003301762025062820250909,Rabbi Coler,0,SHAPE00269
658,0000000042025062820250909,0003296352025062820250909,Mezzocorona-Staz.Fs,1,SHAPE00038
683,0000000022025062820250831,0003274682025062820250831,Parcheggio,1,SHAPE00008
110,0000000042025062820250909,0003285862025062820250909,Rovereto. Staz. Fs,0,SHAPE00422
198,0000000022025062820250909,0003283242025062820250909,Rovereto. Staz. Fs,1,SHAPE00319
663,0000000012025062820250909,0003273392025062820250909,Penia. Str. Pian Trevisan,1,SHAPE00156
132,0000000042025062820250909,0003289002025062820250909,Ronchi Valsugana,0,SHAPE00273
215,0000000042025062820250909,0003283452025062820250909,Rovereto. Via Manzoni,1,SHAPE00118
181,0000000502025062820250909,0003286392025062820250909,Vigile,0,SHAPE00761
