pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2893,2,4,22,0,22,22210,022210,Vallarsa,,0,48336.3352471,78187658.0498,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022210
2894,2,4,22,0,22,22213,022213,Vermiglio,,0,48979.4213609,95826082.6887,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022213
2895,2,4,22,0,22,22216,022216,Vignola-Falesina,,0,15679.9177522,12166090.6746,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022216
2896,2,4,22,0,22,22222,022222,Villa Lagarina,,0,24749.8848189,24185799.9,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022222
2897,2,4,22,0,22,22224,022224,Volano,,0,14551.9853121,10799143.8612,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022224
2898,2,4,22,0,22,22226,022226,Ziano di Fiemme,,0,32455.1239424,35923854.8651,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022226
2899,2,4,22,0,22,22228,022228,Comano Terme,,0,64150.3311029,68259156.1315,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022228
2900,2,4,22,0,22,22229,022229,Ledro,,0,67595.5723403,156358525.436,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022229
2901,2,4,22,0,22,22230,022230,Predaia,,0,59329.2461811,79133059.404,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022230
2902,2,4,22,0,22,22231,022231,San Lorenzo Dorsino,,0,40268.1338092,74217410.9515,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022231
2903,2,4,22,0,22,22232,022232,Valdaone,,0,78857.7092604,177192333.833,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022232
